SCENARIOS
dry_NORMAL
dry_KALT
dry_WARM
2035_RCP85_DRY
2035_RCP85_1in10-warmsummer
2060_RCP26_DRY
2060_RCP26_1in10-warmsummer
2060_RCP85_DRY
2060_RCP85_1in10-warmsummer
